Date,Price
1/25/2019,44.75
1/28/2019,45.05
1/29/2019,45.5
1/30/2019,46.4
1/31/2019,46.15
2/1/2019,46.35
2/7/2019,46.2
2/8/2019,44.8
2/11/2019,45.0
2/12/2019,46.05
2/13/2019,46.2
2/14/2019,47.5
2/15/2019,46.05
2/18/2019,46.2
2/19/2019,45.95
2/20/2019,46.9
2/21/2019,46.95
2/22/2019,47.15
2/25/2019,47.35
2/26/2019,46.75
2/27/2019,46.75
2/28/2019,45.1
3/4/2019,44.85
3/5/2019,44.25
3/6/2019,44.0
3/7/2019,44.45
3/8/2019,43.8
3/11/2019,43.65
3/12/2019,44.65
3/13/2019,43.85
3/14/2019,43.85
3/15/2019,44.2
3/18/2019,43.7
3/19/2019,43.9
3/20/2019,44.05
3/21/2019,45.85
3/22/2019,46.55
3/25/2019,45.5
3/26/2019,45.25
3/27/2019,45.35
3/28/2019,44.85
3/29/2019,44.65
4/1/2019,45.05
4/2/2019,45.75
4/3/2019,46.6
4/4/2019,46.95
4/5/2019,46.85
4/8/2019,46.65
4/9/2019,46.65
4/10/2019,46.7
4/11/2019,46.25
4/12/2019,46.85
4/15/2019,47.05
4/16/2019,47.25
4/17/2019,47.05
4/18/2019,45.6
4/19/2019,45.3
4/22/2019,45.35
4/23/2019,45.2
4/24/2019,44.75
4/25/2019,44.65
4/26/2019,44.85
4/29/2019,46.15
4/30/2019,45.85
5/2/2019,45.9
5/3/2019,45.3
5/7/2019,44.85
5/8/2019,44.25
5/9/2019,42.45
5/10/2019,42.9
5/13/2019,42.65
5/14/2019,42.65
5/15/2019,42.55
5/16/2019,41.55
5/17/2019,41.2
5/20/2019,42.0
5/21/2019,43.15
5/22/2019,43.5
5/23/2019,43.85
5/24/2019,42.7
5/27/2019,42.65
5/28/2019,42.55
5/29/2019,41.8
5/30/2019,42.55
5/31/2019,42.5
6/3/2019,43.8
6/4/2019,43.45
6/5/2019,43.9
6/7/2019,44.2
6/10/2019,44.8
6/11/2019,44.85
6/12/2019,44.6
6/13/2019,43.75
6/14/2019,44.0
6/16/2019,44.0
6/17/2019,43.9
6/18/2019,44.35
6/19/2019,45.35
6/20/2019,45.5
6/21/2019,45.7
6/23/2019,45.7
6/24/2019,45.5
6/25/2019,45.6
6/26/2019,45.7
6/27/2019,46.5
6/28/2019,47.0
6/30/2019,47.0
7/1/2019,46.6
7/2/2019,46.25
7/3/2019,45.4
7/4/2019,46.0
7/5/2019,45.65
7/8/2019,44.4
7/9/2019,45.1
7/10/2019,45.55
7/11/2019,46.2
7/12/2019,46.3
7/14/2019,46.3
7/15/2019,46.45
7/16/2019,46.85
7/17/2019,46.05
7/18/2019,46.1
7/19/2019,46.8
7/21/2019,46.8
7/22/2019,47.2
7/23/2019,47.3
7/24/2019,46.4
7/25/2019,47.2
7/26/2019,47.15
7/28/2019,47.15
7/29/2019,46.1
7/30/2019,46.55
7/31/2019,45.35
8/1/2019,45.2
8/2/2019,44.95
8/4/2019,44.95
8/5/2019,43.95
8/6/2019,43.5
8/7/2019,43.2
8/8/2019,42.65
8/9/2019,43.15
8/11/2019,43.15
8/12/2019,43.7
8/13/2019,43.0
8/14/2019,43.7
8/15/2019,43.7
8/16/2019,43.9
8/18/2019,43.9
8/19/2019,43.6
8/20/2019,44.45
8/21/2019,44.5
8/22/2019,44.05
8/23/2019,43.95
8/25/2019,43.95
8/26/2019,43.6
8/27/2019,44.05
8/28/2019,44.15
8/29/2019,43.4
8/30/2019,44.0
9/1/2019,44.0
9/2/2019,43.8
9/3/2019,43.25
9/4/2019,44.1
9/5/2019,45.7
9/6/2019,46.3
9/8/2019,46.3
9/9/2019,46.9
9/10/2019,47.0
9/11/2019,47.15
9/15/2019,47.15
9/16/2019,47.1
9/17/2019,46.9
9/18/2019,47.7
9/19/2019,49.15
9/20/2019,49.2
9/22/2019,49.2
9/23/2019,49.3
9/24/2019,49.5
9/25/2019,48.9
9/26/2019,49.2
9/27/2019,48.4
9/29/2019,48.4
9/30/2019,49.05
10/1/2019,48.85
10/2/2019,47.6
10/3/2019,47.6
10/4/2019,48.0
10/6/2019,48.0
10/7/2019,47.75
10/8/2019,48.9
10/9/2019,48.9
10/10/2019,48.55
10/11/2019,49.15
10/13/2019,49.15
10/14/2019,50.0
10/15/2019,50.1
10/16/2019,50.7
10/17/2019,50.5
10/18/2019,49.9
10/20/2019,49.9
10/21/2019,50.3
10/22/2019,51.2
10/23/2019,51.2
10/24/2019,50.7
10/25/2019,50.9
10/27/2019,50.9
10/28/2019,51.3
10/29/2019,51.1
10/30/2019,50.4
10/31/2019,50.4
11/1/2019,51.2
11/3/2019,51.2
11/4/2019,52.3
11/5/2019,52.7
11/6/2019,53.3
11/7/2019,52.9
11/8/2019,52.1
11/10/2019,52.1
11/11/2019,51.6
11/12/2019,52.6
11/13/2019,52.5
11/14/2019,52.8
11/15/2019,53.7
11/17/2019,53.7
11/18/2019,53.5
11/19/2019,53.5
11/20/2019,52.0
11/21/2019,51.0
11/22/2019,51.6
11/25/2019,51.8
11/26/2019,51.8
11/27/2019,52.2
11/28/2019,51.3
11/29/2019,50.3
12/1/2019,50.3
12/2/2019,50.4
12/3/2019,49.9
12/4/2019,49.45
12/5/2019,49.5
12/6/2019,50.4
12/8/2019,50.4
12/9/2019,51.2
12/10/2019,51.5
12/11/2019,51.9
12/12/2019,53.3
12/13/2019,54.7
12/15/2019,54.7
12/16/2019,54.7
12/17/2019,56.7
12/18/2019,56.3
12/19/2019,56.0
12/20/2019,56.0
12/22/2019,56.0
12/23/2019,55.5
12/24/2019,55.0
12/25/2019,55.0
12/26/2019,55.4
12/27/2019,56.5
12/29/2019,56.5
12/30/2019,55.8
1/2/2020,55.2
1/3/2020,55.5
1/5/2020,55.5
1/6/2020,55.5
1/7/2020,55.8
1/8/2020,56.8
1/9/2020,58.6
1/10/2020,59.5
1/12/2020,59.5
1/13/2020,60.0
1/14/2020,60.0
1/15/2020,59.0
1/16/2020,60.7
1/17/2020,61.3
1/19/2020,61.3
1/20/2020,62.4
1/21/2020,61.4
1/22/2020,62.3
1/23/2020,60.8
1/27/2020,60.8
1/28/2020,58.8
1/29/2020,59.1
1/30/2020,57.2
1/31/2020,56.4
2/2/2020,56.4
2/3/2020,57.2
2/4/2020,58.9
2/5/2020,59.5
2/6/2020,61.1
2/7/2020,60.4
2/9/2020,60.4
2/10/2020,59.7
2/11/2020,59.9
2/12/2020,60.5
2/13/2020,60.7
2/14/2020,61.8
2/16/2020,61.8
2/17/2020,61.5
2/18/2020,59.8
2/19/2020,60.2
2/20/2020,60.0
2/21/2020,59.2
2/23/2020,59.2
2/24/2020,56.8
2/25/2020,57.9
2/26/2020,56.5
2/27/2020,55.9
2/28/2020,54.2
3/1/2020,54.2
3/2/2020,55.0
3/3/2020,55.4
3/4/2020,57.4
3/5/2020,57.8
3/6/2020,56.5
3/8/2020,56.5
3/9/2020,54.2
3/10/2020,54.6
3/11/2020,52.1
3/12/2020,50.8
3/13/2020,49.95
3/15/2020,49.95
3/16/2020,48.9
3/17/2020,47.3
3/18/2020,45.6
3/19/2020,42.95
3/20/2020,45.4
3/22/2020,45.4
3/23/2020,42.5
3/24/2020,46.95
3/25/2020,48.65
3/26/2020,47.8
3/27/2020,48.3
3/29/2020,48.3
3/30/2020,47.85
3/31/2020,47.75
4/1/2020,45.8
4/2/2020,46.8
4/3/2020,47.0
4/5/2020,47.0
4/6/2020,48.7
4/7/2020,49.6
4/8/2020,48.6
4/9/2020,49.1
4/10/2020,49.25
4/12/2020,49.25
4/13/2020,48.3
4/14/2020,49.0
4/15/2020,49.0
4/16/2020,49.0
4/17/2020,51.4
4/19/2020,51.4
4/20/2020,50.1
4/21/2020,49.25
4/22/2020,49.85
4/23/2020,49.85
4/24/2020,49.35
4/26/2020,49.35
4/27/2020,49.85
4/28/2020,50.1
4/29/2020,50.0
5/3/2020,50.0
5/4/2020,48.5
5/5/2020,48.5
5/6/2020,49.2
5/7/2020,48.8
5/8/2020,48.8
5/10/2020,48.8
5/11/2020,48.4
5/12/2020,47.9
5/13/2020,48.55
5/14/2020,48.0
5/15/2020,47.85
5/17/2020,47.85
5/18/2020,48.8
5/19/2020,50.3
5/20/2020,50.0
5/21/2020,49.95
5/22/2020,48.75
5/24/2020,48.75
5/25/2020,48.85
5/26/2020,49.25
5/27/2020,49.9
5/28/2020,50.4
5/29/2020,50.7
5/31/2020,50.7
6/1/2020,51.2
6/2/2020,51.4
6/3/2020,54.5
6/4/2020,54.6
6/5/2020,55.5
6/7/2020,55.5
6/8/2020,54.9
6/9/2020,55.5
6/10/2020,55.4
6/11/2020,54.3
6/12/2020,52.3
6/14/2020,52.3
6/15/2020,49.9
6/16/2020,52.1
6/17/2020,52.2
6/18/2020,52.3
6/19/2020,52.9
6/21/2020,52.9
6/22/2020,52.0
6/23/2020,51.4
6/24/2020,52.9
6/25/2020,51.9
6/26/2020,53.3
6/28/2020,53.3
6/29/2020,52.4
6/30/2020,52.8
7/1/2020,52.6
7/2/2020,52.9
7/3/2020,53.6
7/5/2020,53.6
7/6/2020,55.0
7/7/2020,53.4
7/8/2020,53.0
7/9/2020,52.8
7/10/2020,52.7
7/13/2020,53.4
7/14/2020,53.8
7/15/2020,54.7
7/16/2020,53.8
7/17/2020,54.4
7/19/2020,54.4
7/20/2020,54.2
7/21/2020,55.3
7/22/2020,54.7
7/23/2020,54.1
7/24/2020,54.2
7/26/2020,54.2
7/27/2020,55.6
7/28/2020,58.6
7/29/2020,59.0
7/30/2020,59.0
7/31/2020,57.9
8/2/2020,57.9
8/3/2020,56.8
8/4/2020,57.3
8/5/2020,56.9
8/6/2020,58.0
8/7/2020,57.5
8/9/2020,57.5
8/10/2020,57.8
8/11/2020,58.2
8/12/2020,59.0
8/13/2020,58.7
8/14/2020,58.0
8/17/2020,58.0
8/18/2020,58.4
8/19/2020,57.8
8/20/2020,55.4
8/21/2020,55.9
8/23/2020,55.9
8/24/2020,56.1
8/25/2020,56.4
8/26/2020,56.4
8/27/2020,55.6
8/28/2020,55.4
8/30/2020,55.4
8/31/2020,54.0
9/1/2020,54.2
9/2/2020,54.4
9/3/2020,56.4
9/4/2020,55.6
9/6/2020,55.6
9/7/2020,56.5
9/8/2020,58.7
9/9/2020,58.4
9/10/2020,59.2
9/11/2020,59.0
9/13/2020,59.0
9/14/2020,60.4
9/15/2020,61.0
9/16/2020,61.0
9/17/2020,59.5
9/18/2020,59.3
9/20/2020,59.3
9/21/2020,59.2
9/22/2020,58.2
9/23/2020,58.6
9/24/2020,57.8
9/25/2020,57.9
9/27/2020,57.9
9/28/2020,58.2
9/29/2020,58.2
10/4/2020,58.2
10/5/2020,58.7
10/6/2020,59.0
10/7/2020,59.9
10/8/2020,59.7
10/11/2020,59.7
10/12/2020,60.4
10/13/2020,60.9
10/14/2020,60.9
10/15/2020,60.0
10/16/2020,59.5
10/18/2020,59.5
10/19/2020,60.0
10/20/2020,60.9
10/21/2020,60.9
10/22/2020,60.1
10/23/2020,60.2
10/25/2020,60.2
10/26/2020,60.4
10/27/2020,59.8
10/28/2020,59.0
10/29/2020,58.1
10/30/2020,56.6
11/1/2020,56.6
11/2/2020,57.4
11/3/2020,58.8
11/4/2020,58.5
11/5/2020,60.3
11/6/2020,60.1
11/8/2020,60.1
11/9/2020,60.2
11/10/2020,60.2
11/11/2020,61.3
11/12/2020,61.0
11/13/2020,63.2
11/15/2020,63.2
11/16/2020,66.3
11/17/2020,65.7
11/18/2020,64.8
11/19/2020,64.6
11/20/2020,64.7
11/22/2020,64.7
11/23/2020,67.5
11/24/2020,67.7
11/25/2020,66.6
11/26/2020,68.0
11/27/2020,68.2
11/29/2020,68.2
11/30/2020,66.7
12/1/2020,67.8
12/2/2020,69.5
12/3/2020,69.7
12/4/2020,71.5
12/6/2020,71.5
12/7/2020,72.9
12/8/2020,71.7
12/9/2020,73.9
12/10/2020,72.9
12/11/2020,73.4
12/13/2020,73.4
12/14/2020,73.8
12/15/2020,73.8
12/16/2020,73.8
12/17/2020,73.3
12/18/2020,73.0
12/20/2020,73.0
12/21/2020,73.0
12/22/2020,72.3
12/23/2020,73.9
12/24/2020,77.8
12/27/2020,77.8
12/28/2020,78.7
12/29/2020,78.3
12/30/2020,81.0
1/4/2021,83.0
1/5/2021,83.9
1/6/2021,82.2
1/7/2021,82.9
1/8/2021,88.8
1/10/2021,88.8
1/11/2021,91.0
1/12/2021,90.6
1/13/2021,89.7
1/14/2021,89.7
1/15/2021,88.0
1/17/2021,88.0
1/18/2021,85.0
1/19/2021,87.0
1/20/2021,87.2
1/21/2021,88.1
1/22/2021,86.8
1/24/2021,86.8
1/25/2021,89.4
1/26/2021,86.7
1/27/2021,85.6
1/28/2021,83.7
1/29/2021,82.0
1/31/2021,82.0
2/1/2021,83.0
2/2/2021,84.4
2/3/2021,84.6
2/4/2021,82.5
2/5/2021,83.5
2/7/2021,83.5
2/8/2021,83.0
2/9/2021,82.7
2/10/2021,81.6
2/14/2021,81.6
2/15/2021,84.2
2/16/2021,84.9
2/17/2021,83.2
2/18/2021,82.1
2/19/2021,82.6
2/21/2021,82.6
2/22/2021,82.2
2/23/2021,82.0
2/24/2021,82.0
2/25/2021,85.3
2/26/2021,82.5
3/1/2021,82.5
3/2/2021,83.6
3/3/2021,84.0
3/4/2021,82.4
3/5/2021,82.1
3/7/2021,82.1
3/8/2021,82.0
3/9/2021,81.4
3/10/2021,80.9
3/11/2021,82.0
3/12/2021,82.8
3/14/2021,82.8
3/15/2021,81.8
3/16/2021,82.8
3/17/2021,82.3
3/18/2021,82.9
3/19/2021,81.9
3/21/2021,81.9
3/22/2021,82.0
3/23/2021,81.8
3/24/2021,81.0
3/25/2021,81.2
3/26/2021,81.5
3/28/2021,81.5
3/29/2021,81.6
3/30/2021,82.2
3/31/2021,81.4
4/1/2021,82.9
4/2/2021,84.8
4/4/2021,84.8
4/5/2021,85.4
4/6/2021,86.0
4/7/2021,85.6
4/8/2021,84.7
4/9/2021,83.6
4/11/2021,83.6
4/12/2021,83.2
4/13/2021,84.0
4/14/2021,84.0
4/15/2021,84.1
4/16/2021,83.9
4/18/2021,83.9
4/19/2021,83.3
4/20/2021,83.9
4/21/2021,82.6
4/22/2021,82.4
4/23/2021,82.8
4/25/2021,82.8
4/26/2021,83.5
4/27/2021,82.9
4/28/2021,82.1
4/29/2021,81.7
4/30/2021,81.5
5/2/2021,81.5
5/3/2021,81.7
5/4/2021,82.6
5/5/2021,82.6
5/6/2021,82.3
5/7/2021,81.9
5/9/2021,81.9
5/10/2021,83.2
5/11/2021,81.2
5/12/2021,80.0
5/13/2021,78.5
5/14/2021,80.1
5/16/2021,80.1
5/17/2021,79.6
