Date,Price
10/30/2018,53.33
10/31/2018,54.72
11/1/2018,55.55
11/2/2018,51.87
11/5/2018,50.4
11/6/2018,50.94
11/7/2018,52.49
11/8/2018,52.12
11/9/2018,51.12
11/12/2018,48.54
11/13/2018,48.06
11/14/2018,46.7
11/15/2018,47.85
11/16/2018,48.38
11/19/2018,46.47
11/20/2018,44.24
11/21/2018,44.2
11/23/2018,43.07
11/26/2018,43.66
11/27/2018,43.56
11/28/2018,45.23
11/29/2018,44.89
11/30/2018,44.65
12/3/2018,46.2
12/4/2018,44.17
12/6/2018,43.68
12/7/2018,42.12
12/10/2018,42.4
12/11/2018,42.16
12/12/2018,42.27
12/13/2018,42.74
12/14/2018,41.37
12/17/2018,40.98
12/18/2018,41.52
12/19/2018,40.22
12/20/2018,39.21
12/21/2018,37.68
12/24/2018,36.71
12/26/2018,39.29
12/27/2018,39.04
12/28/2018,39.06
12/31/2018,39.44
1/2/2019,39.48
1/3/2019,35.55
1/4/2019,37.06
1/7/2019,36.98
1/8/2019,37.69
1/9/2019,38.33
1/10/2019,38.45
1/11/2019,38.07
1/14/2019,37.5
1/15/2019,38.27
1/16/2019,38.73
1/17/2019,38.97
1/18/2019,39.2
1/22/2019,38.33
1/23/2019,38.48
1/24/2019,38.17
1/25/2019,39.44
1/28/2019,39.08
1/29/2019,38.67
1/30/2019,41.31
1/31/2019,41.61
2/1/2019,41.63
2/4/2019,42.81
2/5/2019,43.55
2/6/2019,43.56
2/7/2019,42.73
2/8/2019,42.6
2/11/2019,42.36
2/12/2019,42.72
2/13/2019,42.55
2/14/2019,42.7
2/15/2019,42.6
2/19/2019,42.73
2/20/2019,43.01
2/21/2019,42.77
2/22/2019,43.24
2/25/2019,43.56
2/26/2019,43.58
2/27/2019,43.72
2/28/2019,43.29
3/1/2019,43.74
3/4/2019,43.96
3/5/2019,43.88
3/6/2019,43.63
3/7/2019,43.12
3/8/2019,43.23
3/11/2019,44.73
3/12/2019,45.23
3/13/2019,45.43
3/14/2019,45.93
3/15/2019,46.53
3/18/2019,47.01
3/19/2019,46.63
3/20/2019,47.04
3/21/2019,48.77
3/22/2019,47.76
3/25/2019,47.19
3/26/2019,46.7
3/27/2019,47.12
3/28/2019,47.18
3/29/2019,47.49
4/1/2019,47.81
4/2/2019,48.51
4/3/2019,48.84
4/4/2019,48.92
4/5/2019,49.25
4/8/2019,50.02
4/9/2019,49.88
4/10/2019,50.16
4/11/2019,49.74
4/12/2019,49.72
4/15/2019,49.81
4/16/2019,49.81
4/17/2019,50.78
4/18/2019,50.97
4/22/2019,51.13
4/23/2019,51.87
4/24/2019,51.79
4/25/2019,51.32
4/26/2019,51.08
4/29/2019,51.15
4/30/2019,50.17
5/1/2019,52.63
5/2/2019,52.29
5/3/2019,52.94
5/6/2019,52.12
5/7/2019,50.72
5/8/2019,50.73
5/9/2019,50.18
5/10/2019,49.3
5/13/2019,46.43
5/14/2019,47.16
5/15/2019,47.73
5/16/2019,47.52
5/17/2019,47.25
5/20/2019,45.77
5/21/2019,46.65
5/22/2019,45.7
5/23/2019,44.91
5/24/2019,44.74
5/28/2019,44.56
5/29/2019,44.34
5/30/2019,44.58
5/31/2019,43.77
6/3/2019,43.33
6/4/2019,44.91
6/5/2019,45.63
6/6/2019,46.3
6/7/2019,47.54
6/10/2019,48.15
6/11/2019,48.7
