Date,Price,Open,High,Low,Vol.,Change %
1/2/2018,45.79,45.44,45.81,45.24,844.22K,1.87%
1/3/2018,46.3,45.93,46.36,45.9,613.23K,1.11%
1/4/2018,47.25,46.81,47.26,46.8,770.67K,2.05%
1/5/2018,48.7,48.18,48.79,48.17,1.36M,3.07%
1/8/2018,49,48.8,49.01,48.73,618.86K,0.62%
1/9/2018,49.55,49.78,49.8,49.42,1.06M,1.12%
1/10/2018,49.78,49.74,49.97,49.47,1.05M,0.46%
1/11/2018,50.28,49.88,50.32,49.82,860.92K,1.00%
1/12/2018,50.03,49.96,50.82,49.73,1.04M,-0.50%
1/16/2018,48.95,49.8,50.41,48.8,1.39M,-2.16%
1/17/2018,49.82,49.44,49.97,49.16,784.63K,1.78%
1/18/2018,49.17,49.35,49.35,49.02,570.63K,-1.30%
1/19/2018,49.89,49.88,50.02,49.73,522.44K,1.46%
1/22/2018,50.8,50.15,50.81,50.1,800.07K,1.82%
1/23/2018,50.42,51.57,51.94,49.89,2.43M,-0.75%
1/24/2018,49.15,49.9,49.9,48.93,1.74M,-2.52%
1/25/2018,48.4,48.5,49.12,48.19,1.22M,-1.53%
1/26/2018,49.48,48.77,49.5,48.73,1.11M,2.23%
1/29/2018,47.87,48.6,48.62,47.56,3.08M,-3.25%
1/30/2018,47.35,47.54,47.76,46.97,911.46K,-1.09%
1/31/2018,47.94,47.93,48.13,47.74,852.35K,1.25%
2/1/2018,49.15,48.58,49.64,48.49,1.81M,2.52%
2/2/2018,51.99,53,53.91,51.57,3.95M,5.78%
2/5/2018,49,50.68,50.69,48.31,2.60M,-5.75%
2/6/2018,50.77,49.01,51.18,48.8,2.67M,3.61%
2/7/2018,50.12,50.5,50.95,49.93,1.13M,-1.28%
2/8/2018,46.96,48.57,48.76,46.96,2.58M,-6.30%
2/9/2018,47.05,47.45,47.77,45.33,2.10M,0.19%
2/12/2018,48.27,47.72,48.48,47.27,1.21M,2.59%
2/13/2018,47.22,47.08,47.34,46.8,1.31M,-2.18%
2/14/2018,48.59,47.15,48.69,47.12,1.34M,2.90%
2/15/2018,48.81,48.93,48.93,48.03,624.33K,0.45%
2/16/2018,49.55,49.3,49.74,49.23,882.89K,1.52%
2/20/2018,49.41,49.4,49.88,49.3,698.82K,-0.28%
2/21/2018,49.5,50.05,50.54,49.49,918.19K,0.18%
2/22/2018,49.85,50,50.25,49.67,885.78K,0.71%
2/23/2018,50.23,50.16,50.27,49.62,1.44M,0.76%
2/26/2018,50.92,50.69,50.99,50.53,877.98K,1.37%
2/27/2018,50.27,50.8,50.92,50.22,859.45K,-1.28%
2/28/2018,50.46,50.83,51,50.44,863.49K,0.38%
3/1/2018,48.72,49.8,49.94,48.32,1.19M,-3.45%
3/2/2018,49.68,48.66,49.73,48.44,843.23K,1.97%
3/5/2018,50.53,49.35,50.72,49.35,1.11M,1.71%
3/6/2018,50.16,50.17,50.49,50.05,1.08M,-0.73%
3/7/2018,50.89,50.3,51.09,50.25,1.23M,1.46%
3/8/2018,51.28,51.17,51.4,51.04,801.53K,0.77%
3/9/2018,51.4,51.17,51.44,50.86,1.29M,0.23%
3/12/2018,50.01,50.02,50.39,49.92,1.39M,-2.70%
3/13/2018,50.07,50.34,50.61,49.95,1.26M,0.12%
3/14/2018,50.95,50.96,51.14,50.73,927.47K,1.76%
3/15/2018,51.34,51.31,51.59,51.12,536.93K,0.77%
3/16/2018,50.64,50.75,50.78,50.35,964.30K,-1.36%
3/19/2018,48.34,48.64,48.67,47.71,1.84M,-4.54%
3/20/2018,48.83,48.48,48.89,48.39,947.90K,1.01%
3/21/2018,48.69,48.76,49.19,48.62,624.01K,-0.29%
3/22/2018,48.13,48.56,48.87,48,1.58M,-1.15%
3/23/2018,47.89,48.81,48.94,47.85,915.84K,-0.50%
3/26/2018,48.67,48.48,48.68,47.93,931.57K,1.63%
3/27/2018,47.87,49.2,49.23,47.55,1.47M,-1.64%
3/28/2018,48.08,48.63,48.93,47.86,2.81M,0.44%
3/29/2018,48.34,48.2,48.59,47.67,2.14M,0.54%
4/2/2018,47.99,48.42,48.55,47.71,2.18M,-0.72%
4/3/2018,48.84,48.5,48.93,48.08,1.91M,1.77%
4/4/2018,48.97,47.86,49.03,47.76,907.36K,0.27%
4/5/2018,49.15,49.05,49.31,48.92,882.60K,0.37%
4/6/2018,48.44,48.77,49.1,48.23,892.58K,-1.44%
4/9/2018,48.57,48.92,49.12,48.57,611.23K,0.27%
4/10/2018,49.75,49.73,49.87,49.44,1.09M,2.43%
4/11/2018,49.35,49.38,49.81,49.11,549.82K,-0.80%
4/12/2018,49.14,48.96,49.29,48.8,779.13K,-0.43%
4/13/2018,48.89,49.12,49.14,48.61,699.92K,-0.51%
4/16/2018,49.35,49.46,49.59,49.13,682.05K,0.94%
4/17/2018,49.77,49.77,50,49.55,1.03M,0.85%
4/18/2018,50.46,50.3,50.61,50.26,1.97M,1.39%
4/19/2018,49.73,49.88,49.9,49.26,1.92M,-1.45%
4/20/2018,49.76,50,50,49.54,1.34M,0.06%
4/23/2018,49.41,49.77,49.77,49.33,930.09K,-0.70%
4/24/2018,49.39,49.98,50,49.13,1.26M,-0.04%
4/25/2018,49.58,49.63,49.7,49.22,802.18K,0.38%
4/26/2018,50.18,49.99,50.47,49.8,1.13M,1.21%
4/27/2018,45.5,47.34,47.35,44.53,6.68M,-9.33%
4/30/2018,45.83,45.74,46.05,45.46,1.11M,0.73%
5/1/2018,46.35,46,46.39,45.63,1.99M,1.13%
5/2/2018,46.66,46.46,46.78,46.27,1.37M,0.67%
5/3/2018,47.1,46.7,47.19,46.47,1.47M,0.94%
5/4/2018,47.57,46.76,47.67,46.65,1.04M,1.00%
5/7/2018,47.44,47.42,47.72,47.2,1.21M,-0.27%
5/8/2018,47.39,47.4,47.5,47.22,918.84K,-0.11%
5/9/2018,47.31,47.22,47.66,47.08,1.11M,-0.17%
5/10/2018,46.88,46.6,47,46.53,837.95K,-0.91%
5/11/2018,48.08,47.22,48.21,47.2,1.65M,2.56%
5/14/2018,48.34,48.2,48.43,48.03,842.43K,0.54%
5/15/2018,47.51,47.9,47.9,47.2,908.40K,-1.72%
5/16/2018,47.82,47.83,47.97,47.61,626.59K,0.65%
5/17/2018,48.8,48.78,48.98,48.54,1.15M,2.05%
5/18/2018,48.6,48.58,48.74,48.25,655.13K,-0.41%
5/21/2018,48.39,48.65,48.68,48.29,624.06K,-0.43%
5/22/2018,47.06,47.89,47.89,47.02,1.05M,-2.75%
5/23/2018,46.47,46.46,46.47,46,1.07M,-1.25%
5/24/2018,46.46,46.65,46.65,46.11,806.23K,-0.02%
5/25/2018,46.4,46.27,46.64,46.25,762.11K,-0.13%
5/29/2018,46.6,46.88,46.95,46.32,1.13M,0.43%
5/30/2018,47.21,47.06,47.29,47.02,747.37K,1.31%
5/31/2018,47.09,47.25,47.3,46.86,709.12K,-0.25%
6/1/2018,47.67,47.35,47.78,47.35,439.52K,1.23%
6/4/2018,49.08,48.36,49.15,48.31,1.36M,2.96%
6/5/2018,49.31,49.18,49.39,48.92,994.37K,0.47%
6/6/2018,50.18,50.02,50.26,49.92,2.58M,1.76%
6/7/2018,49.88,50.04,50.14,49.71,688.80K,-0.60%
6/8/2018,49.96,49.65,50,49.42,582.47K,0.16%
6/11/2018,50.5,50.24,50.66,50.19,597.03K,1.08%
6/12/2018,49.85,49.76,50.15,49.68,528.87K,-1.29%
6/13/2018,49.82,49.82,50.17,49.53,835.31K,-0.06%
6/14/2018,49.13,49.4,49.44,49.12,731.29K,-1.38%
6/15/2018,49.12,48.96,49.25,48.96,519.95K,-0.02%
6/18/2018,48.37,48.5,48.5,48.02,778.11K,-1.53%
6/19/2018,48.24,48.01,48.26,47.54,712.08K,-0.27%
6/20/2018,49.56,48.98,49.9,48.77,1.28M,2.74%
6/21/2018,49.22,49.6,49.67,48.89,761.41K,-0.69%
6/22/2018,50.37,49.9,50.68,49.8,1.18M,2.34%
6/25/2018,49.53,49.97,50,49.22,646.49K,-1.67%
6/26/2018,50,49.96,50.32,49.7,637.90K,0.95%
6/27/2018,50.29,50.56,51.45,50.29,1.30M,0.58%
6/28/2018,51.7,51.43,51.84,51.2,1.28M,2.80%
6/29/2018,51.26,51.37,51.61,51.2,1.05M,-0.85%
7/2/2018,50.94,50.4,50.96,50.28,480.04K,-0.62%
7/3/2018,50.97,51,51.36,50.92,581.07K,0.06%
7/5/2018,49.06,48.71,49.35,48.51,1.71M,-3.75%
7/6/2018,49.58,49.25,49.59,49.18,450.14K,1.06%
7/9/2018,51.61,51.42,51.64,51.08,852.28K,4.09%
7/10/2018,51.68,51.28,51.77,51.27,489.63K,0.14%
7/11/2018,51.96,51.67,52.25,51.63,1.04M,0.54%
7/12/2018,52.21,52.03,52.4,51.99,1.01M,0.48%
7/13/2018,53.31,53.05,53.48,52.96,869.98K,2.11%
7/16/2018,53.27,53.35,53.49,53.2,446.87K,-0.08%
7/17/2018,53.63,53.28,54.02,53.26,804.11K,0.68%
7/18/2018,53.07,53.18,53.18,52.76,630.34K,-1.04%
7/19/2018,52.63,52.73,52.88,52.5,590.37K,-0.83%
7/20/2018,52.95,52.79,53.38,52.65,951.80K,0.61%
7/23/2018,53.15,53.05,53.4,53.02,458.50K,0.38%
7/24/2018,52.67,52.79,53.09,52.45,918.78K,-0.90%
7/25/2018,53.66,53.29,53.74,53.11,681.42K,1.88%
7/26/2018,53.66,53.58,53.82,53.49,506.54K,0.00%
7/27/2018,53.4,53.72,53.84,53.29,656.62K,-0.48%
7/30/2018,52.34,53.23,53.23,52.18,1.07M,-1.99%
7/31/2018,54.02,54.62,55.5,53.51,1.68M,3.21%
8/1/2018,55,54.83,55.12,54.58,1.25M,1.81%
8/2/2018,55.28,54.54,55.5,54.51,1.05M,0.51%
8/3/2018,54.96,54.92,55.21,54.74,923.03K,-0.58%
8/6/2018,54.46,54.77,54.8,54.24,611.47K,-0.91%
8/7/2018,55.55,55.3,55.82,55.17,886.07K,2.00%
8/8/2018,54.79,54.94,55.01,54.66,778.28K,-1.37%
8/9/2018,55.39,55.43,55.58,55.15,615.21K,1.10%
8/10/2018,54.65,54.45,54.81,54.44,1.22M,-1.34%
8/13/2018,54.17,54.04,54.58,53.97,1.01M,-0.88%
8/14/2018,54.28,54.36,54.36,54.05,737.15K,0.20%
8/15/2018,53.71,53.72,53.85,53.08,1.16M,-1.05%
8/16/2018,53.84,53.86,54.19,53.74,1.48M,0.24%
8/17/2018,54.87,54.13,54.98,54.01,1.27M,1.91%
8/20/2018,54.59,54.56,54.81,54.28,570.76K,-0.51%
8/21/2018,54.42,54.5,54.77,54.35,463.71K,-0.31%
8/22/2018,54.62,54.33,54.71,54.29,637.61K,0.37%
8/23/2018,54.41,54.23,54.62,54.13,1.75M,-0.38%
8/24/2018,54.54,54.64,54.78,54.42,699.58K,0.24%
8/27/2018,56.02,55.48,56.22,55.42,905.17K,2.71%
8/28/2018,55.77,55.87,56.07,55.11,1.56M,-0.45%
8/29/2018,57.07,56.45,57.2,56.25,1.09M,2.33%
8/30/2018,56.68,56.78,57.03,56.41,712.72K,-0.68%
8/31/2018,56.83,56.85,57.22,56.63,493.22K,0.26%
9/4/2018,56.18,56.4,56.43,55.69,599.72K,-1.14%
9/5/2018,55.5,56,56.01,55.19,743.39K,-1.21%
9/6/2018,56.36,56.57,56.6,55.96,1.15M,1.55%
9/7/2018,56.53,56.12,56.74,56,873.25K,0.30%
9/10/2018,56.68,56.82,56.88,56.56,1.07M,0.27%
9/11/2018,56.85,56.48,56.88,56.48,661.36K,0.30%
9/12/2018,57.47,56.99,57.51,56.87,608.20K,1.09%
9/13/2018,57.76,57.72,58.1,57.62,625.55K,0.50%
9/14/2018,59.44,59.38,59.51,59.13,1.25M,2.91%
9/17/2018,59.29,59.69,59.9,59.24,738.57K,-0.25%
9/18/2018,59.83,59.65,59.94,59.49,1.14M,0.91%
9/19/2018,59,59.62,59.74,58.91,1.11M,-1.39%
9/20/2018,59.1,58.95,59.15,58.78,678.66K,0.17%
9/21/2018,57,57.4,58.04,56.64,3.69M,-3.55%
9/24/2018,56.85,56.94,57.12,56.65,1.28M,-0.26%
9/25/2018,58.53,58.7,58.8,58.32,1.15M,2.96%
9/26/2018,59.45,59.71,59.8,59.31,1.07M,1.57%
9/27/2018,59.53,59.39,59.8,59.19,608.79K,0.13%
9/28/2018,60.65,61,61,60.47,1.58M,1.88%
10/1/2018,60.58,60.81,61.02,60.53,633.03K,-0.12%
10/2/2018,59.82,60.1,60.17,59.71,727.52K,-1.25%
10/3/2018,58.32,58.65,58.67,58.26,979.49K,-2.51%
10/4/2018,57.07,58.15,58.17,56.7,1.84M,-2.14%
10/5/2018,57.23,57.75,57.91,56.79,775.77K,0.28%
10/8/2018,57.07,56.9,57.33,56.45,937.90K,-0.28%
10/9/2018,57.97,57.81,58.23,57.78,1.07M,1.58%
10/10/2018,56.1,57.86,57.89,56.04,1.61M,-3.23%
10/11/2018,55.52,55.99,56.62,55.2,1.30M,-1.03%
10/12/2018,55.51,55.74,56.17,54.89,1.41M,-0.02%
10/15/2018,56.25,55.56,56.63,55.42,1.40M,1.33%
10/16/2018,57.5,56.9,57.53,56.79,1.34M,2.22%
10/17/2018,57.9,57.89,58.12,57.41,1.16M,0.70%
10/18/2018,56.03,57.2,57.2,55.61,1.76M,-3.23%
10/19/2018,55.67,56.48,56.67,55.65,769.27K,-0.64%
10/22/2018,55.78,56,56.14,55.47,503.13K,0.20%
10/23/2018,55.07,54.5,55.25,53.35,1.46M,-1.27%
10/24/2018,53.08,55,55.01,53.07,1.59M,-3.61%
10/25/2018,53.48,52.99,53.87,52.64,1.82M,0.75%
10/26/2018,52.41,52.03,52.75,51.74,2.73M,-2.00%
10/29/2018,51,52.66,52.97,50.31,2.57M,-2.69%
10/30/2018,53.43,54,54.89,53,2.71M,4.76%
10/31/2018,54.13,54.28,54.48,53.7,1.77M,1.31%
11/1/2018,55.66,55.49,55.69,54.9,1.54M,2.83%
11/2/2018,53.66,54.71,54.91,53.28,1.56M,-3.59%
11/5/2018,53.32,53.74,53.74,53.17,958.89K,-0.63%
11/6/2018,53.5,53.62,53.87,53.23,711.06K,0.34%
11/7/2018,55.26,54.49,55.47,54.26,1.62M,3.29%
11/8/2018,54.41,54.94,55.01,54.07,1.08M,-1.54%
11/9/2018,54.07,54.18,54.34,53.76,957.76K,-0.62%
11/12/2018,51.53,52.69,52.72,51.45,1.65M,-4.70%
11/13/2018,51.24,51.46,51.92,51.09,949.85K,-0.56%
11/14/2018,51.14,51.59,51.66,50.72,872.17K,-0.20%
11/15/2018,51.65,50.7,51.78,50.6,712.82K,1.00%
11/16/2018,50.81,50.09,50.98,50.04,834.85K,-1.63%
11/19/2018,50.99,51.88,52.07,50.92,1.58M,0.35%
11/20/2018,49.53,49.71,50.11,49.32,1.41M,-2.86%
11/21/2018,50.52,50.54,50.92,50.36,783.06K,2.00%
11/23/2018,49.69,49.86,50.3,49.66,362.60K,-1.64%
11/26/2018,51.02,50.54,51.13,50.43,1.28M,2.68%
11/27/2018,51.37,51.13,51.62,50.88,956.97K,0.69%
11/28/2018,52.91,51.82,52.92,51.45,1.04M,3.00%
11/29/2018,51.88,52.11,52.25,51.61,1.10M,-1.95%
11/30/2018,52.82,52.87,53.29,52.58,809.49K,1.81%
12/3/2018,54.17,54.08,54.34,53.87,1.08M,2.56%
12/4/2018,51.51,53.09,53.21,51.44,1.11M,-4.91%
12/6/2018,51.86,50.66,51.92,50.63,783.42K,0.68%
12/7/2018,51.13,52,52.32,51.01,635.02K,-1.41%
12/10/2018,51.11,50.65,51.27,50.16,1.02M,-0.04%
12/11/2018,51.15,51.63,51.8,50.9,1.81M,0.08%
12/12/2018,52.62,52.56,53.31,52.43,926.78K,2.87%
12/13/2018,52.2,52.59,52.8,52.03,620.17K,-0.80%
12/14/2018,51.29,51.61,51.91,51.15,750.60K,-1.74%
12/17/2018,50.5,51.19,51.28,50.26,711.89K,-1.54%
12/18/2018,49.39,50.02,50.21,49.24,1.16M,-2.20%
12/19/2018,48.76,49.39,49.98,48.34,1.43M,-1.28%
12/20/2018,48.27,48.6,49.2,47.72,1.31M,-1.00%
12/21/2018,46.73,47.38,47.91,46.69,1.24M,-3.19%
12/24/2018,45.88,46.07,46.57,45.63,807.63K,-1.82%
12/26/2018,47.62,46.78,47.67,45.85,1.15M,3.79%
12/27/2018,48.53,47.6,48.53,47.06,806.10K,1.91%
12/28/2018,48.14,48.61,48.71,47.85,607.77K,-0.80%
12/31/2018,48.28,48.73,48.81,47.92,858.72K,0.29%
1/2/2019,48.72,47.57,48.98,47.4,779.88K,0.91%
1/3/2019,47.02,48.23,48.28,46.89,1.62M,-3.49%
1/4/2019,49.21,48.12,49.55,48.02,1.19M,4.66%
1/7/2019,49.72,49.46,50.31,49.43,673.97K,1.04%
1/8/2019,49.89,50.15,50.26,49.41,1.03M,0.34%
1/9/2019,49.93,49.81,50.13,49.32,658.94K,0.08%
1/10/2019,49.1,48.68,49.12,48.5,1.07M,-1.66%
1/11/2019,48.98,48.88,49.08,48.77,590.95K,-0.24%
1/14/2019,48.42,48.7,48.74,48.3,735.89K,-1.14%
1/15/2019,49.84,49.64,50.13,49.6,985.78K,2.93%
1/16/2019,49.61,49.58,49.92,49.48,880.85K,-0.46%
1/17/2019,49.51,49.03,49.76,48.86,708.69K,-0.20%
1/18/2019,50.18,50.11,50.36,49.79,889.44K,1.35%
